database;class;sequence id;length (aa);HCA score;% strong hydrophobic;sequence coverage by foldable segment;number of removed aa
SCOPe;a;d5suza1;94;4.31;0.37;0.98;0
SCOPe;a;d1s29a1;89;1.54;0.36;0.81;0
SCOPe;a;d1w1we_;79;-1.70;0.32;0.63;0
SCOPe;a;d2ns0a1;85;-4.67;0.27;0.67;0
SCOPe;a;d4ejoa1;111;0.62;0.39;0.82;0
SCOPe;a;d3d0sa2;80;-1.21;0.28;0.80;0
SCOPe;a;d3k2za1;69;-1.32;0.33;0.88;0
SCOPe;a;d1jhga_;101;1.41;0.34;0.86;0
SCOPe;a;d5xbob_;49;1.06;0.37;0.82;0
SCOPe;a;d2cp9a1;51;-1.12;0.29;0.67;0
SCOPe;a;d2spca_;107;-0.26;0.29;0.74;0
SCOPe;a;d1nafa_;129;-0.05;0.30;0.95;0
SCOPe;a;g1o7d.1;95;2.28;0.34;0.99;0
SCOPe;a;d1zwva1;49;-0.45;0.31;0.67;0
SCOPe;a;d5u4ka_;87;1.91;0.31;0.90;0
SCOPe;a;d2enda_;137;2.01;0.36;0.98;0
SCOPe;a;d1y6da_;114;0.14;0.33;0.82;0
SCOPe;a;d2etsa1;110;4.05;0.40;0.99;0
SCOPe;a;d2fzfa1;158;2.78;0.39;0.98;0
SCOPe;a;d3a68a_;194;1.14;0.35;0.87;0
SCOPe;a;d3gwkc1;94;0.50;0.30;0.78;0
SCOPe;a;d3q1si_;140;3.37;0.40;1.00;0
SCOPe;a;d1or5a_;82;0.56;0.30;0.89;0
SCOPe;a;d3mkha2;168;0.18;0.33;0.76;0
SCOPe;a;d2qsba1;85;1.46;0.35;0.99;0
SCOPe;a;d1nh2d1;50;4.02;0.38;0.94;0
SCOPe;a;d2o38a1;89;0.13;0.30;0.88;0
SCOPe;a;d5i4za_;74;0.01;0.31;0.93;0
SCOPe;a;d1c07a_;95;0.87;0.38;0.84;0
SCOPe;a;d2m1ua1;72;2.00;0.35;0.88;0
SCOPe;a;d5jola_;82;1.18;0.35;0.87;0
SCOPe;a;d4pt1a_;129;0.93;0.35;0.98;0
SCOPe;a;d1v32a1;88;1.16;0.39;0.92;0
SCOPe;b;d2ix0a3;87;0.22;0.36;0.80;0
SCOPe;b;d1e3pa2;62;1.31;0.34;0.79;0
SCOPe;b;d1b3qa2;132;3.52;0.46;0.99;0
SCOPe;b;d4ac9a2;79;0.03;0.32;0.90;0
SCOPe;b;d4fk8a1;98;1.06;0.36;0.85;0
SCOPe;b;d1r5ba2;68;1.15;0.35;0.65;0
SCOPe;b;d1dnla_;199;0.11;0.34;0.93;0
SCOPe;b;d2h2za_;306;1.67;0.39;0.93;0
SCOPe;b;d3ouga_;108;0.60;0.37;0.99;0
SCOPe;b;d2cofa1;94;-0.30;0.35;0.90;0
SCOPe;b;d2ys1a1;106;2.14;0.38;1.00;0
SCOPe;b;d2xsta_;154;1.45;0.39;0.97;0
SCOPe;b;d2bc3a2;146;-1.51;0.24;0.83;0
SCOPe;b;d1f3ua_;118;-1.69;0.28;0.89;0
SCOPe;b;d5jowa1;302;-4.28;0.33;0.63;0
SCOPe;b;d1zi0a_;307;-0.78;0.34;0.85;0
SCOPe;b;d3jb9l_;299;0.73;0.35;0.99;0
SCOPe;b;d4g1ma1;438;-0.63;0.33;0.95;0
SCOPe;b;d4mh1a1;556;-0.86;0.32;0.86;0
SCOPe;b;d1gcya1;61;-0.56;0.28;0.89;0
SCOPe;b;d5ahta1;40;-5.83;0.25;0.75;0
SCOPe;b;d2guda1;121;-0.31;0.31;0.88;0
SCOPe;b;d4tkca_;118;-2.99;0.33;0.68;0
SCOPe;b;d4c2la_;372;-1.52;0.30;0.94;0
SCOPe;b;d3dhoa_;203;1.51;0.39;0.97;0
SCOPe;b;d3tioa_;176;1.51;0.39;0.96;0
SCOPe;b;d2phla1;200;-0.51;0.34;0.86;0
SCOPe;b;d1sefa_;250;-0.66;0.36;0.90;0
SCOPe;b;d5wpwa1;224;-1.63;0.31;0.89;0
SCOPe;b;d2mpfa_;139;1.88;0.40;0.99;0
SCOPe;b;d2arca_;161;-0.26;0.39;0.84;0
SCOPe;b;d1c5ea_;95;-4.37;0.25;0.58;0
SCOPe;b;d5vsca_;273;2.04;0.38;0.97;0
SCOPe;b;d2vhla1;91;1.00;0.36;0.92;0
SCOPe;b;d1xp4a1;93;-2.92;0.29;0.77;0
SCOPe;b;d2biba1;233;0.21;0.37;0.98;0
SCOPe;b;d3pmsa2;174;-1.29;0.30;0.78;0
SCOPe;b;d1f2na_;189;0.84;0.37;0.91;0
SCOPe;b;d1pm4a_;117;-0.25;0.32;0.96;0
SCOPe;b;d1s7ma_;158;-4.17;0.22;0.67;0
SCOPe;b;d2edma1;161;0.43;0.32;0.99;0
SCOPe;b;d5kkxa1;89;2.20;0.37;0.93;0
SCOPe;c;d2yzra_;309;1.49;0.36;0.99;0
SCOPe;c;d1kbia1;414;-0.03;0.34;0.90;0
SCOPe;c;d1h4vb1;96;-1.14;0.30;0.94;0
SCOPe;c;d3e40a_;257;1.35;0.38;0.98;0
SCOPe;c;d3lasa_;166;-0.51;0.36;0.99;0
SCOPe;c;d4czga2;185;-0.58;0.32;0.94;0
SCOPe;c;d3hm8a1;197;1.26;0.36;0.97;0
SCOPe;c;d2q3sa2;205;0.53;0.37;0.95;0
SCOPe;c;d4oo8a1;303;1.55;0.35;0.91;0
SCOPe;c;d3mcab1;141;2.93;0.38;0.92;0
SCOPe;c;d4oy3a1;229;2.46;0.38;0.99;0
SCOPe;c;d5emia1;178;0.97;0.34;0.98;0
SCOPe;c;d1fzta_;211;-1.25;0.32;0.76;0
SCOPe;c;d1qb7a_;236;-0.65;0.36;0.89;0
SCOPe;c;d5eswa1;188;2.35;0.40;0.96;0
SCOPe;c;d1nw7a_;279;-1.14;0.34;0.86;0
SCOPe;c;d1nv8a_;271;0.80;0.38;0.97;0
SCOPe;c;d2c81a_;409;0.13;0.36;0.97;0
SCOPe;c;d3acza_;387;0.43;0.35;0.88;0
SCOPe;c;d2d0ja_;246;-1.72;0.32;0.82;0
SCOPe;c;d2o2ia_;293;0.28;0.35;0.99;0
SCOPe;c;d1qlwa_;318;-1.43;0.33;0.78;0
SCOPe;c;d1vkha1;261;2.87;0.40;1.00;0
SCOPe;c;d2akoa1;250;1.36;0.36;0.92;0
SCOPe;c;d1zora_;399;2.13;0.37;1.00;0
SCOPe;c;d1iu9a_;111;-0.54;0.36;0.88;0
SCOPe;c;d3ctpa_;266;2.13;0.39;0.96;0
SCOPe;c;d2iksa_;276;0.63;0.34;0.97;0
SCOPe;c;d2p0sa1;136;0.48;0.30;0.99;0
SCOPe;c;d3mpka_;235;0.32;0.35;0.85;0
SCOPe;c;d4ykia_;247;2.07;0.37;0.99;0
SCOPe;c;d4pe3a_;315;-0.24;0.32;0.97;0
SCOPe;c;d4pf8a_;300;1.21;0.35;0.93;0
SCOPe;c;d1oi0a_;121;1.30;0.40;0.98;0
SCOPe;c;d2q4qa2;121;1.43;0.31;0.97;0
SCOPe;c;d3h5qa2;260;0.20;0.32;0.93;0
SCOPe;c;d1jsca1;181;0.46;0.31;0.97;0
SCOPe;c;d3irva_;213;1.58;0.38;0.98;0
SCOPe;c;d4fega3;226;1.30;0.33;0.98;0
SCOPe;c;d2vp4a_;198;2.32;0.38;0.95;0
SCOPe;c;d1uj2a_;213;1.22;0.38;0.98;0
SCOPe;c;d2dy1a2;267;-0.61;0.33;0.82;0
SCOPe;c;d3defa_;245;0.28;0.36;0.89;0
SCOPe;c;d5ik2a2;276;-1.41;0.34;0.84;0
SCOPe;c;d4cr2h3;100;-2.25;0.24;0.51;0
SCOPe;c;d2bdta1;176;1.02;0.38;0.90;0
SCOPe;c;d2dyka_;161;-0.18;0.35;0.99;0
SCOPe;c;d1tq1a_;119;-1.82;0.29;0.85;0
SCOPe;c;d1qq2a_;173;0.45;0.36;0.81;0
SCOPe;c;d3ph9a_;133;1.80;0.37;0.84;0
SCOPe;c;d1v95a1;117;1.26;0.34;0.89;0
SCOPe;c;d2a1ia1;129;2.68;0.41;0.98;0
SCOPe;c;d2wczb_;117;1.00;0.38;0.79;0
SCOPe;c;d5swca1;220;1.20;0.37;0.90;0
SCOPe;c;d2zf5o1;247;-1.19;0.34;0.94;0
SCOPe;c;d1wlja_;173;2.35;0.36;0.94;0
SCOPe;c;d4af1a2;133;-0.50;0.32;0.71;0
SCOPe;c;d1cg2a1;276;-0.86;0.31;0.83;0
SCOPe;d;d2z1ea2;179;-0.13;0.32;0.88;0
SCOPe;d;d1ia9a_;278;0.50;0.38;0.97;0
SCOPe;d;d3v5wa2;364;0.16;0.35;0.90;0
SCOPe;d;d1i9za_;345;1.52;0.37;0.96;0
SCOPe;d;d3ck2a1;173;0.79;0.38;0.96;0
SCOPe;d;d1ojsa4;152;0.88;0.34;0.95;0
SCOPe;d;d1kf6a3;132;-1.18;0.34;0.88;0
SCOPe;d;d3l9jc_;134;-0.65;0.33;0.77;0
SCOPe;d;d1yymg_;309;1.61;0.35;0.93;0
SCOPe;d;d4qkua2;299;-0.67;0.32;0.99;0
SCOPe;d;d2ooia1;161;2.28;0.39;0.97;0
SCOPe;d;d1ttwa_;118;2.42;0.39;0.98;0
SCOPe;d;d1bi7b_;125;-2.58;0.29;0.66;0
SCOPe;d;d3hraa1;100;-1.45;0.29;0.89;0
SCOPe;d;d1h5pa_;95;-0.73;0.31;0.77;0
SCOPe;d;d2pn2a1;132;-0.28;0.33;0.77;0
SCOPe;d;d4ps6a1;129;-2.67;0.29;0.74;0
SCOPe;d;d1vlra2;107;1.18;0.35;0.98;0
SCOPe;d;d1u55a_;188;1.34;0.37;0.89;0
SCOPe;d;d2a8ea1;210;0.66;0.34;0.78;0
SCOPe;d;d5gpla_;206;-1.11;0.33;0.95;0
SCOPe;c;d4g8zx_;204;1.52;0.36;0.90;0
SCOPe;c;d1ti6a2;728;0.05;0.33;0.91;0
SCOPe;c;d1f0ka1;350;-0.15;0.33;0.99;0
SCOPe;c;d1agxa_;331;-0.98;0.33;0.92;0
SCOPe;c;d3egca_;268;-0.94;0.33;0.84;0
SCOPe;c;d1twya_;249;0.55;0.33;0.99;0
SCOPe;c;d2ozza1;228;0.56;0.38;0.81;0
SCOPe;c;d2hg4a3;182;-3.12;0.25;0.79;0
SCOPe;c;d2ebda1;172;-1.01;0.34;0.72;0
SCOPe;c;d1mq0a_;130;2.20;0.38;0.92;0
SCOPe;c;d3fzqa_;271;2.07;0.37;0.98;0
SCOPe;c;d2hoqa_;237;3.10;0.39;0.95;0
SCOPe;c;d2g40a1;175;-0.35;0.34;0.96;0
SCOPe;c;d5wq3a_;208;2.09;0.39;0.85;0
SCOPe;c;d2yyba_;242;1.81;0.36;0.95;0
SCOPe;c;d3by5a1;123;-2.91;0.28;0.57;0
SCOPe;d;d4msta_;241;-0.44;0.33;0.79;0
SCOPe;d;d4ow1a_;86;-2.47;0.24;0.92;0
SCOPe;d;d2hbwa2;148;-0.18;0.34;0.93;0
SCOPe;d;d1e3ha2;149;-1.95;0.30;0.83;0
SCOPe;d;d2lwpa_;97;-1.73;0.34;0.77;0
SCOPe;d;d2dhza1;107;0.86;0.36;0.92;0
SCOPe;d;d2c60a1;80;2.23;0.38;0.96;0
SCOPe;d;d1pj5a3;119;-3.33;0.30;0.58;0
SCOPe;d;d2chca1;167;0.08;0.34;0.97;0
SCOPe;d;d3i1va2;138;-0.54;0.35;0.72;0
SCOPe;d;d2awfa1;124;0.70;0.39;0.98;0
SCOPe;d;d3cglf_;159;-0.44;0.34;0.82;0
SCOPe;c;d2d2zb1;97;2.13;0.37;0.97;0
SCOPe;c;d2lqoa1;84;0.31;0.32;0.98;0
SCOPe;c;d4ruva_;106;1.98;0.38;0.99;0
SCOPe;c;d2c42a3;157;0.27;0.34;0.96;0
SCOPe;c;d2foka4;193;1.15;0.35;0.95;0
SCOPe;c;d2inba1;135;1.93;0.39;0.99;0
SCOPe;c;d1ekja_;210;1.69;0.37;0.98;0
SCOPe;c;d1k8ka1;158;0.68;0.37;0.92;0
SCOPe;c;d3cj1a2;283;1.82;0.37;0.95;0
SCOPe;c;d1d5aa1;347;1.28;0.36;0.99;0
SCOPe;c;d1zupa1;301;0.87;0.36;0.93;0
SCOPe;c;d4glfa_;287;-0.23;0.33;0.98;0
SCOPe;c;d2o4ha_;301;0.14;0.37;0.88;0
SCOPe;c;d3dona1;99;1.46;0.36;0.98;0
SCOPe;c;d1wd5a_;208;-0.13;0.34;0.88;0
SCOPe;c;d1xg9a3;164;-0.44;0.37;0.87;0
SCOPe;c;d1d2ha_;252;1.96;0.36;0.97;0
SCOPe;c;d1khha_;193;0.12;0.37;0.92;0
SCOPe;c;d2p7ia_;225;2.09;0.37;0.98;0
SCOPe;c;d2h00a1;250;2.17;0.39;0.91;0
SCOPe;c;d3c3pa1;209;0.43;0.38;0.89;0
SCOPe;c;d3njra1;183;-1.48;0.29;0.86;0
SCOPe;c;d1v2da_;368;0.20;0.35;1.00;0
SCOPe;c;d2viaa_;405;-0.27;0.33;0.93;0
SCOPe;c;d1ex9a_;285;-0.86;0.32;0.85;0
SCOPe;c;d4inza_;286;2.01;0.37;0.98;0
SCOPe;c;d2ocga_;254;-0.04;0.35;0.87;0
SCOPe;c;d3ikha1;284;-1.48;0.32;0.85;0
SCOPe;c;d1hqsa_;423;0.40;0.33;0.84;0
SCOPe;c;d1vima1;182;2.04;0.39;0.93;0
SCOPe;c;d1y3na1;490;0.82;0.35;0.88;0
SCOPe;c;d2o1ma_;232;-0.10;0.32;0.89;0
SCOPe;c;d3oxna_;215;1.87;0.39;0.98;0
SCOPe;b;d1mh5h2;88;-0.98;0.33;0.70;0
SCOPe;b;d1i1ca1;103;-0.47;0.32;0.94;0
SCOPe;b;d1ypzf2;110;-3.60;0.33;0.73;0
SCOPe;b;d2cpca1;100;0.64;0.41;0.98;0
SCOPe;b;d4gs7c1;97;1.04;0.37;0.95;0
SCOPe;b;d2db8a1;97;-0.11;0.32;0.89;0
SCOPe;b;d1mspa_;124;-2.80;0.30;0.89;0
SCOPe;b;d1l6pa_;121;-1.32;0.32;0.88;0
SCOPe;b;d2d7na1;80;-1.82;0.30;0.70;0
SCOPe;b;d4yefa_;80;0.85;0.34;0.94;0
SCOPe;b;d2j3sa3;91;-2.96;0.30;0.93;0
SCOPe;b;d2idca1;173;0.40;0.37;0.99;0
SCOPe;b;d1ayoa_;130;0.09;0.38;0.94;0
SCOPe;b;d1f0la1;155;0.22;0.31;0.83;0
SCOPe;b;d1uwya1;107;-0.47;0.39;0.98;0
SCOPe;b;d1aoza3;214;0.68;0.36;0.93;0
SCOPe;b;d1kbva2;151;0.32;0.34;0.92;0
SCOPe;b;d1j83a_;180;-0.66;0.29;0.95;0
SCOPe;d;d2phcb2;84;2.20;0.36;0.85;0
SCOPe;d;d2vapa2;123;1.17;0.34;0.93;0
SCOPe;d;d1clia1;166;0.52;0.38;0.95;0
SCOPe;d;d3re3a1;159;3.05;0.39;0.99;0
SCOPe;d;d1nvmb2;155;0.26;0.33;0.89;0
SCOPe;d;d1sgoa_;139;3.06;0.35;0.96;0
SCOPe;d;d3e10a_;166;1.10;0.34;0.95;0
SCOPe;d;d2ddfa_;257;-1.32;0.32;0.84;0
SCOPe;d;d3e11a1;113;2.50;0.39;1.00;0
SCOPe;d;d5tnwa1;96;-0.85;0.33;0.91;0
SCOPe;d;d1qb3b_;119;-0.43;0.31;0.76;0
SCOPe;d;d12asa_;327;0.45;0.32;0.96;0
SCOPe;d;d1biaa3;207;1.14;0.38;0.99;0
SCOPe;d;d1xeba_;149;1.95;0.39;0.97;0
SCOPe;d;d4m3sa_;160;-0.11;0.35;0.96;0
SCOPe;d;d2hv2a2;285;0.90;0.36;0.99;0
SCOPe;d;d4mbua1;162;1.52;0.36;0.99;0
SCOPe;d;d1j72a1;114;-2.75;0.33;0.84;0
SCOPe;d;d2l0wa_;135;-0.47;0.40;0.89;0
SCOPe;d;d1y4oa1;95;-0.58;0.34;0.93;0
SCOPe;d;d1vhza1;184;0.83;0.36;0.93;0
SCOPe;d;d2i8ta_;149;-0.42;0.38;1.00;0
SCOPe;d;d1kbia2;97;-2.06;0.34;0.75;0
SCOPe;d;d1p5dx4;96;-0.23;0.32;0.88;0
SCOPe;d;d3imla1;102;1.33;0.34;0.95;0
SCOPe;d;d1vpka1;120;0.42;0.37;0.92;0
SCOPe;d;d3nvvc2;631;0.52;0.34;0.96;0
SCOPe;d;d4gena1;153;5.52;0.42;0.98;0
SCOPe;d;d2hgsa4;370;0.59;0.33;0.93;0
SCOPe;d;d5ut3a_;272;1.13;0.36;1.00;0
SCOPe;d;d5hesa_;294;2.07;0.38;0.99;0
SCOPe;d;d3i99a2;134;-1.09;0.34;0.63;0
SCOPe;d;d4oo8a2;133;-0.38;0.31;0.77;0
SCOPe;d;d1vlra1;192;-0.28;0.37;0.96;0
SCOPe;d;d2hkja2;164;1.32;0.35;0.87;0
SCOPe;d;d1usua_;256;0.96;0.36;0.92;0
SCOPe;d;d1wx7a1;93;1.02;0.31;0.88;0
SCOPe;d;d1x1ma1;94;2.86;0.38;1.00;0
SCOPe;d;d1km7a_;100;0.28;0.39;0.97;0
SCOPe;d;d4ny0a1;97;2.13;0.37;0.97;0
SCOPe;d;d1d4ba1;116;-0.29;0.34;0.88;0
SCOPe;d;d1ffva2;79;0.77;0.34;0.96;0
SCOPe;d;d2saka_;121;-1.83;0.36;0.76;0
SCOPe;d;d1tifa_;76;-1.57;0.30;0.83;0
SCOPe;d;d1pn0a3;101;-1.50;0.35;0.74;0
SCOPe;d;d2iy2a_;69;0.49;0.33;0.90;0
SCOPe;d;d1kt2b2;118;-0.04;0.34;0.59;0
SCOPe;d;d2q0va1;135;2.11;0.36;0.84;0
SCOPe;d;d3g7ka1;169;0.90;0.33;0.96;0
SCOPe;d;d1oqwa_;144;-1.31;0.30;0.90;0
SCOPe;d;d1fd9a_;204;-1.22;0.30;0.81;0
SCOPe;d;d2pbca1;98;-0.89;0.33;0.88;0
SCOPe;d;d2qalp1;82;-0.71;0.30;0.95;0
SCOPe;d;d1u69a_;156;-0.69;0.31;0.97;0
SCOPe;d;d1bm8a_;99;0.16;0.34;0.66;0
SCOPe;d;d2qree2;135;3.11;0.41;0.98;0
SCOPe;d;d2o5ua2;143;1.53;0.37;0.94;0
SCOPe;d;d5byua_;128;2.20;0.41;0.99;0
SCOPe;d;d2b7na1;102;1.29;0.36;0.77;0
SCOPe;d;d2p1pa1;40;0.28;0.33;0.68;0
SCOPe;d;d1tuaa2;104;2.13;0.35;0.95;0
SCOPe;d;d2e3ua2;89;-0.18;0.34;0.94;0
SCOPe;d;d3tqpa1;137;-1.92;0.28;0.96;0
SCOPe;d;d3c8ya3;83;-2.28;0.35;0.55;0
SCOPe;d;d2fiua1;95;0.47;0.33;1.00;0
SCOPe;d;d1x4ea1;72;-1.42;0.31;0.96;0
SCOPe;d;d1ufwa1;82;0.61;0.37;0.93;0
SCOPe;d;d2pe8a1;101;4.09;0.41;0.95;0
SCOPe;d;d1vhib_;132;1.55;0.37;0.98;0
SCOPe;d;d1ulra_;87;2.22;0.34;0.98;0
SCOPe;d;d2cvea2;67;0.07;0.37;0.99;0
SCOPe;d;d1u8sa1;84;0.61;0.37;0.87;0
SCOPe;d;d1cg2a2;113;-1.18;0.28;0.93;0
SCOPe;d;d1s4ea2;171;1.07;0.35;0.95;0
SCOPe;d;d1qd1a1;179;-1.60;0.31;0.74;0
SCOPe;d;d1pbua_;162;1.70;0.36;0.93;0
SCOPe;d;d3oq2a_;99;2.40;0.37;0.97;0
SCOPe;d;d1r0va3;75;-0.52;0.37;0.67;0
SCOPe;d;d1rq2a2;107;-0.19;0.33;1.00;0
SCOPe;d;d4c82a_;180;2.82;0.37;0.98;0
SCOPe;d;d1t4ba2;221;1.57;0.35;0.87;0
SCOPe;d;d1p9la2;109;-4.49;0.25;0.51;0
SCOPe;c;d1azta2;221;1.25;0.37;0.87;0
SCOPe;c;d1s1ma2;266;0.83;0.37;0.94;0
SCOPe;c;d2qi9c_;248;-0.72;0.31;0.92;0
SCOPe;c;d1w36b1;485;0.30;0.33;0.86;0
SCOPe;c;d1z3ix2;298;0.44;0.37;0.86;0
SCOPe;c;d1w5sa2;287;1.78;0.37;0.97;0
SCOPe;c;d4cr2m3;90;-2.43;0.34;0.72;0
SCOPe;c;d3lnca_;210;1.46;0.37;0.98;0
SCOPe;c;d3w5ja1;196;3.34;0.38;0.98;0
SCOPe;c;d3nxsa_;321;-1.09;0.32;0.79;0
SCOPe;c;d5ffna_;311;-0.90;0.27;0.96;0
SCOPe;c;d3lhla_;276;1.57;0.38;0.97;0
SCOPe;c;d1iiba_;103;0.97;0.38;0.92;0
SCOPe;c;d1p15a_;245;0.66;0.36;0.93;0
SCOPe;c;d1wrma1;154;2.39;0.36;1.00;0
SCOPe;c;d1nm3a1;74;-2.62;0.34;0.72;0
SCOPe;c;d1wika1;96;0.76;0.39;0.86;0
SCOPe;b;d1gvha2;107;-2.33;0.31;0.86;0
SCOPe;b;d2i02a1;143;-1.24;0.32;0.96;0
SCOPe;b;d3u5wa_;143;-0.45;0.34;0.96;0
SCOPe;b;d1arba_;263;-3.42;0.25;0.66;0
SCOPe;b;d2k1qa1;159;-1.00;0.32;0.80;0
SCOPe;b;d1njjb1;150;1.37;0.40;0.81;0
SCOPe;b;d3zkqa_;386;0.57;0.37;0.99;0
SCOPe;b;d2fug31;82;-5.33;0.24;0.40;0
SCOPe;b;d1u29a_;119;-0.52;0.34;0.95;0
SCOPe;b;d3f0wa1;143;0.27;0.34;0.83;0
SCOPe;b;d1tqza1;133;0.89;0.34;0.98;0
SCOPe;b;d3wjda_;153;-0.66;0.35;0.81;0
SCOPe;b;d1jjua5;108;-2.14;0.27;0.70;0
SCOPe;b;d1jnpa_;101;1.40;0.43;0.90;0
SCOPe;b;d1w0pa3;364;-1.70;0.33;0.78;0
SCOPe;b;d2ghsa1;295;-1.27;0.31;0.88;0
SCOPe;b;d1r7aa1;70;-3.77;0.26;0.70;0
SCOPe;b;d2f69a1;78;0.09;0.37;0.97;0
SCOPe;b;d2j8ia1;97;0.15;0.32;0.63;0
SCOPe;b;d2vhea_;194;1.13;0.40;0.76;0
SCOPe;b;d1p9ha_;189;-2.85;0.22;0.88;0
SCOPe;b;d4qgna_;178;0.63;0.36;0.88;0
SCOPe;b;d4r52a_;174;-2.11;0.34;0.82;0
SCOPe;b;d3bb6a1;109;-1.77;0.35;0.78;0
SCOPe;b;d1wgpa1;124;2.23;0.36;0.98;0
SCOPe;b;d5e16a_;138;-0.66;0.34;0.71;0
SCOPe;b;d1bdoa_;80;1.59;0.38;0.97;0
SCOPe;b;d3j9ta3;78;0.72;0.35;0.97;0
SCOPe;b;d1aqta2;85;-0.09;0.36;0.89;0
SCOPe;b;d1gmua1;70;-0.33;0.37;0.97;0
SCOPe;b;g1fmd.1;289;-0.24;0.30;0.87;0
SCOPe;b;d1g8fa1;167;-0.54;0.35;0.71;0
SCOPe;b;d5o95a1;73;0.23;0.36;0.99;0
SCOPe;b;d1u00a2;115;0.51;0.34;0.96;0
SCOPe;b;d2cmea1;78;-1.10;0.37;0.91;0
SCOPe;b;d3j9ca1;52;-3.40;0.27;0.63;0
SCOPe;a;d2v7qi_;47;2.26;0.36;1.00;0
SCOPe;a;d1eysc_;310;-0.80;0.32;0.82;0
SCOPe;a;d1h99a1;115;3.18;0.38;0.96;0
SCOPe;a;d1tlha_;89;0.97;0.36;0.93;0
